id,name,address,lat,lon
374,LC046 - Padre Hurtado / Gral. Blanche,Av. Padre Hurtado Sur 238,-33.40937,-70.54197
375,LC047 - Apoquindo / Luiz Zegers,Av. Apoquindo 5285,-33.41092,-70.57373
376,LC048 - Latadia / Américo Vespucio,Latadia 4454,-33.42817,-70.57404
377,LC049 - Presidente Riesco / Américo Vespucio,Presidente Riesco Esquina Américo Vespucio Norte,-33.41065,-70.58663
378,LC050 - IV Centenario / Apoquindo,IV Centenario 8,-33.40885,-70.56529
379,LC051 - IV Centenario / Manuel Claro Vial,IV Centenario 1878,-33.42745,-70.54259
380,LC052 - IV Centenario / Alejandro Fleming,IV Centenario 1371,-33.42441,-70.54618
381,LC053 - Sebastián Elcano / Victor Rae,Sebastián Elcano 1949,-33.43009,-70.56989
382,LC054 - Padre Hurtado / Bocaccio,Padre Hurtado Central 709,-33.4008,-70.54461
383,LC055 - Mall Los Dominicos,Av. Padre Hurtado Sur 837,-33.41425,-70.53993
384,LC056 - Imperial,Imperial 680,-33.41452,-70.54981
385,LC057 - Paul Harris / Cristóbal Colón,Paul Harris 633,-33.41599,-70.53418
386,LC058 - Plaza Horacio Rivarola,Alonso De Camargo 5091,-33.42114,-70.57017
387,LC059 - Sánchez Fontecilla / I. La Católica,Mariano Sánchez Fontecilla 1834,-33.43103,-70.58473
388,LC060 - Rotonda La Capitanía,La Capitanía 473,-33.41362,-70.57036
389,LC061 - Apoquindo / Hans C Andersen,Av. Apoquindo 4276,-33.41445,-70.58615
390,LC062 - Visviri,Visviri 1263,-33.42064,-70.54018
391,LC063 - Isabel La Católica / El Pillán,Isabel La Católica 6676,-33.42511,-70.55995
392,LC064 - Luis Rodríguez Velasco - Cnel Pereira,Luis Rodríguez Velasco 4751,-33.41342,-70.57963
393,LC065 - Alsacia / Apoquindo,Alsacia 24,-33.41541,-70.59053
394,LC066 - Cerro Colorado / Rosario Norte,Cerro Colorado 5612,-33.40218,-70.57542
395,LC067 - Isidora Goyenechea / Carmencita,Isidora Goyenechea 3000,-33.41428,-70.59806
396,LC068 - Metro Manquehue - Sur,Av. Manquehue Sur 120,-33.40887,-70.56705
397,LC069 - Cristóbal Colón / Fuenteovejuna,Fuenteovejuna 1015,-33.41771,-70.54672
398,LC070 - Alonso De Córdova Interior,Alonso de Córdova 5225,-33.40649,-70.57589
399,LC071 - Burgos / Apoquindo,Burgos 71,-33.41565,-70.58788
400,LC072 - Estadio Israelita,Av. las Condes 8349,-33.39774,-70.55065
401,LC073 - Padre Hurtado / Camino El Alba,Padre Hurtado Central 1580,-33.40581,-70.54335
402,LC074 - Del Inca / Antonia Salas,Del Inca 4781,-33.41611,-70.57684
403,LC075 - La Oración / Gerónimo De Alderete,La Oración 391,-33.40121,-70.55961
404,LC076 - La Posada / San Antonio,Camino La Posada 12972,-33.37578,-70.50973
405,LC077 - Mall Sport,Av. Las Condes 13451,-33.37078,-70.50731
406,LC078 - Libia / Las Condes,Av. las Condes 9258,-33.39096,-70.54205
407,LC079 - Mallalil,Mallalil 7525,-33.42929,-70.55398
408,LC080 - Manquehue Sur / Carlos Alvarado,Av. Manquehue Sur 1911,-33.42937,-70.56505
409,LC081 - Padre Hurtado / Alejandro Fleming,Av. Padre Hurtado Sur 1688,-33.42363,-70.53799
410,LC082 - Plaza Domingo Bondi,Diego de Deza 1209,-33.41961,-70.56807
411,LC083 - Padre Hurtado / Nueva Bilbao,Av Padre hurtado Sur 1869,-33.427,-70.53855
412,LC084 - Presidente Errázuriz / Alcántara,Pdte Errázuriz 3943,-33.42037,-70.58841
413,LC085 - Plaza La Condordia,Latadia 5062,-33.42759,-70.57054
414,LC086 - Tomás Moro / Alejandro Fleming,Tomás Moro 1651,-33.42558,-70.55419
415,LC087 - Hospital DIPRECA,Vital Apoquindo 1150,-33.41618,-70.52927
416,LC088 - Cerro Colorado / Manquehue Norte,Cerro Colorado 6060,-33.40053,-70.57051
417,LC089 - Chesterton / Bocaccio,Bocaccio 506,-33.40049,-70.54751
418,LC090 - Plaza República de Paraguay,Del Inca 4435,-33.41791,-70.58135
419,LC091 - Las Tranqueras / Pinares,Pinares 636,-33.39445,-70.55363
420,LC092 - Manquehue Sur / El Director,Av. Manquehue Sur 674,-33.41275,-70.5663
421,LC093 - Los Estandartes,Av. Presidente Riesco 4550,-33.40827,-70.58311
422,LC094 - Sánchez Fontecilla / Martín De Zamora,Mariano Sánchez Fontecilla 908,-33.42468,-70.59228
423,LC096 - La Casona,Camino La Posada 210,-33.3749,-70.50518
424,IT01 - Itaú,Av. Presidente Riesco 5537,-33.4043,-70.57381
425,P62 - El Cerro,750 Av. El Cerro,-33.41552,-70.61732
426,P63 - Carmen Sylva / Hernando De Aguirre,2702 Carmen Sylva,-33.42396,-70.59922
427,P64 - Seminario / Ricardo Matte Pérez,Seminario 82,-33.43991,-70.63005
